jugador,equipo,Competición,goles,asistencias,partidos
Dembélé O.,PSG,FR Ligue 1,21,6,29
Greenwood M.,Marsella,FR Ligue 1,21,5,34
Kalimuendo A.,Stade Rennais,FR Ligue 1,17,3,31
David J.,Lille,FR Ligue 1,16,5,32
Lacazette A.,Lyon,FR Ligue 1,15,2,32
Barcola B.,PSG,FR Ligue 1,14,10,34
Emegha E.,Estrasburgo,FR Ligue 1,14,3,27
Gouiri A.,Marsella,FR Ligue 1,13,5,33
Ajorque L.,Brest,FR Ligue 1,13,2,31
Biereth M.,Mónaco,FR Ligue 1,13,2,16
Guessand E.,Niza,FR Ligue 1,12,7,32
Stassin L.,Saint-Étienne,FR Ligue 1,12,4,30
Mikautadze G.,Lyon,FR Ligue 1,11,6,30
Laborde G.,Niza,FR Ligue 1,11,5,32
Nakamura K.,Reims,FR Ligue 1,11,2,32
Perrin G.,Auxerre,FR Ligue 1,10,11,31
Ramos G. M.,PSG,FR Ligue 1,10,3,30
Santos A.,Estrasburgo,FR Ligue 1,10,3,28
Traore H. J.,Auxerre,FR Ligue 1,10,2,30
Toure A.,Le Havre,FR Ligue 1,10,1,29
Davitashvili Z.,Saint-Étienne,FR Ligue 1,9,8,29
Rabiot A.,Marsella,FR Ligue 1,9,4,31
Abline M.,Nantes,FR Ligue 1,9,2,27
Lepaul E.,Angers,FR Ligue 1,9,0,26
Cherki R.,Lyon,FR Ligue 1,8,11,32
Simon M.,Nantes,FR Ligue 1,8,10,33
El Aynaoui N.,Lens,FR Ligue 1,8,1,27
Luis Henrique,Marsella,FR Ligue 1,7,7,28
Tolisso C.,Lyon,FR Ligue 1,7,5,31
Aboukhlal Z.,Toulouse,FR Ligue 1,7,2,30
Sima A.,Brest,FR Ligue 1,7,2,29
Bakwa D.,Estrasburgo,FR Ligue 1,6,9,27
Blas L.,Stade Rennais,FR Ligue 1,6,7,29
Doue D.,PSG,FR Ligue 1,6,6,28
Lee Kang-In,PSG,FR Ligue 1,6,6,29
Del Castillo R.,Brest,FR Ligue 1,6,4,27
Diop S.,Niza,FR Ligue 1,6,4,31
Embolo B.,Mónaco,FR Ligue 1,6,4,23
Nanasi S.,Estrasburgo,FR Ligue 1,6,4,22
Zakaria D.,Mónaco,FR Ligue 1,6,4,25
Ben Seghir E.,Mónaco,FR Ligue 1,6,3,26
